CCAA,HUELGAS_2022,JORNADAS NO TRABAJADAS,SALARIO MEDIO,HUELGAS_2021,HUELGAS_2020,HUELGAS_2019,HUELGAS_2018,HUELGAS_2013,HUELGAS_2012,HUELGAS_2011,HUELGAS_2010,HUELGAS_2009
ANDALUCÍA,25,34862,1914.9,49,44,86,76,91,86,138,175,153,
ARAGÓN,27,12825,2030.0,47,21,43,50,54,32,34,48,24,
ASTURIAS (PRINCIPADO DE),39,17706,2115.3,34,26,61,37,63,53,35,49,38,
BALEARS (ILLES),6,2527,2311.7,9,3,10,12,17,6,12,10,5,
CANARIAS,6,5648,1869.3,7,5,13,14,36,22,46,23,49,
CANTABRIA,7,59973,2112.5,17,7,22,26,44,30,22,32,25,
CASTILLA-LA MANCHA,13,9267,1960.5,14,7,13,17,21,14,27,27,11,
CASTILLA Y LEÓN,19,5409,2075.7,34,10,34,42,37,48,38,54,37,
CATALUÑA,93,104580,2281.3,98,81,157,106,186,140,122,148,137,
COMUNITAT VALENCIANA,30,9990,1952.8,27,10,52,52,97,72,69,65,43,
EXTREMADURA,10,3569,1845.3,11,5,13,16,18,11,13,24,9,
GALICIA,41,63671,2056.5,48,28,96,66,115,97,54,115,136,
MADRID (COMUNIDAD DE),76,45196,2381.3,62,49,105,139,97,109,72,88,82,
MURCIA (REGIÓN DE),9,2891,1876.4,12,5,17,18,32,24,31,23,11,
NAVARRA (C. FORAL DE),58,22852,2285.4,59,37,102,47,104,66,70,99,73,
PAÍS VASCO,67327,320,2545.8,224,178,286,224,318,247,223,284,274,
RIOJA (LA),1472,7,2084.8,6,1,8,15,17,10,17,24,11,

