OBJECTID,CCAA_indicador_AROPE_Texto,riesgopobreza2016_modificado2_T,Shape__Area,Shape__Length
1,Andalucía,41.7,139302894432.007,2635058.07834443
2,Aragón,18.7,85224847995.1094,2032446.82258419
3,Principado de Asturias,18.5,20024272401.2463,1215984.22711971
4,Illes Balears,19.1,8397658622.16797,1885759.94803886
5,Canarias,44.6,9620551790.04443,2023696.46604677
6,Cantabria,24.6,10025549901.3092,1030287.98211661
7,Castilla y León,23.2,169494816494.156,3651884.84227809
8,Castilla-La Mancha,37.9,133975296469.02,2987143.85393101
9,Cataluña,17.9,57842309687.9191,2069028.10160004
10,Comunitat Valenciana,30.5,39013611270.1172,1801496.1626687
11,Extremadura,35.8,69424941188.4219,1723755.2861128
12,Galicia,25.4,54890792429.125,3075264.28024261
13,Comunidad de Madrid,21.7,13901267616.4824,996618.650572257
14,Región de Murcia,34.8,18250326578.8904,924310.389754207
15,Comunidad Foral de Navarra,13,19290430806.6793,1124671.59260757
16,País Vasco,15.9,13476331009.4219,1381049.12476381
17,La Rioja,17.4,9220821615.40753,780704.796393789
18,Ceuta,41.9,29441994.145752,50690.3870209724
19,Melilla,29.3,19934343.4897461,30499.6164424457
